d,v2,v3,v5,ideal_size,quotient_size,generator_shell_size,annihilator_d,annihilator_size,overlap_gcd,direct_summand,idempotent_generator,maximal,minimal_nonzero
1,0,0,0,360,1,96,360,1,1,1,1,0,0
2,1,0,0,180,2,48,180,2,2,0,,1,0
3,0,1,0,120,3,32,120,3,3,0,,1,0
4,2,0,0,90,4,24,90,4,2,0,,0,0
5,0,0,1,72,5,24,72,5,1,1,145,1,0
6,1,1,0,60,6,16,60,6,6,0,,0,0
8,3,0,0,45,8,24,45,8,1,1,136,0,0
9,0,2,0,40,9,16,40,9,1,1,81,0,0
10,1,0,1,36,10,12,36,10,2,0,,0,0
12,2,1,0,30,12,8,30,12,6,0,,0,0
15,0,1,1,24,15,8,24,15,3,0,,0,0
18,1,2,0,20,18,8,20,18,2,0,,0,0
20,2,0,1,18,20,6,18,20,2,0,,0,0
24,3,1,0,15,24,8,15,24,3,0,,0,0
30,1,1,1,12,30,4,12,30,6,0,,0,0
36,2,2,0,10,36,4,10,36,2,0,,0,0
40,3,0,1,9,40,6,9,40,1,1,280,0,0
45,0,2,1,8,45,4,8,45,1,1,225,0,0
60,2,1,1,6,60,2,6,60,6,0,,0,0
72,3,2,0,5,72,4,5,72,1,1,216,0,1
90,1,2,1,4,90,2,4,90,2,0,,0,0
120,3,1,1,3,120,2,3,120,3,0,,0,1
180,2,2,1,2,180,1,2,180,2,0,,0,1
360,3,2,1,1,360,1,1,360,1,1,0,0,0
