r,gcd,integers,one,primes,composites,squarefree,semiprimes,prime_squares,proper_prime_powers,omega_sum,Omega_sum,first_prime,first_composite
0,360,2777,0,0,2777,0,0,0,0,11772,25086,0,360
1,1,2778,1,820,1957,2628,1254,27,29,5383,5564,1801,361
2,2,2778,0,1,2777,2636,854,0,0,8039,8208,2,362
3,3,2778,0,1,2777,2616,876,0,0,7944,8149,3,363
4,4,2778,0,0,2778,0,1,1,1,7903,10848,0,4
5,5,2778,0,1,2777,2106,747,0,1,7759,8631,5,365
6,6,2778,0,0,2778,2630,1,0,0,10588,10769,0,6
7,1,2778,0,811,1967,2635,1285,0,0,5397,5559,7,1807
8,8,2778,0,0,2778,0,0,0,2,7600,16098,0,8
9,9,2778,0,0,2778,0,1,1,3,7593,11948,0,9
10,10,2778,0,0,2778,2107,1,0,0,10391,11253,0,10
11,1,2778,0,821,1957,2633,1262,0,0,5394,5555,11,371
12,12,2778,0,0,2778,0,0,0,0,10454,13403,0,12
13,1,2778,0,830,1948,2632,1238,0,0,5393,5558,13,1813
14,2,2778,0,0,2778,2637,858,0,0,8049,8204,0,14
15,15,2778,0,0,2778,2091,1,0,0,10291,11180,0,15
16,8,2778,0,0,2778,0,0,0,2,7610,16104,0,16
17,1,2778,0,803,1975,2641,1300,0,0,5405,5557,17,377
18,18,2778,0,0,2778,0,0,0,0,10222,14562,0,18
19,1,2778,0,824,1954,2639,1265,0,1,5395,5549,19,1099
20,20,2778,0,0,2778,0,0,0,0,10241,13877,0,20
21,3,2778,0,0,2778,2635,906,0,0,7958,8122,0,21
22,2,2778,0,0,2778,2639,873,0,0,8044,8199,0,22
23,1,2778,0,813,1965,2636,1275,0,0,5397,5559,23,1463
24,24,2778,0,0,2778,0,0,0,0,10119,18628,0,24
25,5,2778,0,0,2778,2115,735,1,2,7779,8635,0,25
26,2,2778,0,0,2778,2637,862,0,0,8047,8205,0,26
27,9,2778,0,0,2778,0,0,0,3,7610,11942,0,27
28,4,2778,0,0,2778,0,0,0,0,7915,10853,0,28
29,1,2778,0,813,1965,2640,1282,0,0,5400,5553,29,749
30,30,2778,0,0,2778,2091,0,0,0,12911,13788,0,30
31,1,2778,0,823,1955,2641,1264,0,0,5396,5549,31,391
32,8,2778,0,0,2778,0,0,0,2,7601,16101,0,32
33,3,2778,0,0,2778,2634,890,0,0,7965,8132,0,33
34,2,2778,0,0,2778,2644,854,0,0,8058,8208,0,34
35,5,2778,0,0,2778,2112,752,0,0,7774,8624,0,35
36,36,2778,0,0,2778,0,0,0,0,10060,17160,0,36
37,1,2778,0,813,1965,2637,1274,0,1,5403,5563,37,1477
38,2,2778,0,0,2778,2639,847,0,0,8051,8208,0,38
39,3,2778,0,0,2778,2632,886,0,0,7969,8135,0,39
40,40,2778,0,0,2778,0,0,0,0,9880,19063,0,40
41,1,2778,0,797,1981,2639,1308,0,0,5408,5561,41,1121
42,6,2778,0,0,2778,2638,0,0,0,10606,10765,0,42
43,1,2778,0,818,1960,2638,1265,0,0,5399,5556,43,403
44,4,2778,0,0,2778,0,0,0,0,7912,10841,0,44
45,45,2778,0,0,2778,0,0,0,0,9876,14912,0,45
46,2,2778,0,0,2778,2642,859,0,0,8050,8202,0,46
47,1,2778,0,821,1957,2639,1267,0,0,5396,5555,47,407
48,24,2778,0,0,2778,0,0,0,0,10129,18624,0,48
49,1,2778,0,785,1993,2631,1316,28,28,5395,5573,409,49
50,10,2778,0,0,2778,2115,0,0,0,10407,11256,0,50
51,3,2778,0,0,2778,2640,892,0,0,7969,8125,0,51
52,4,2778,0,0,2778,0,0,0,0,7908,10842,0,52
53,1,2778,0,815,1963,2641,1276,0,0,5402,5556,53,413
54,18,2778,0,0,2778,0,0,0,0,10231,14563,0,54
55,5,2778,0,0,2778,2112,753,0,0,7775,8624,0,55
56,8,2778,0,0,2778,0,0,0,0,7611,16094,0,56
57,3,2778,0,0,2778,2641,906,0,0,7964,8118,0,57
58,2,2778,0,0,2778,2639,870,0,0,8044,8198,0,58
59,1,2778,0,834,1944,2636,1245,0,0,5388,5548,59,779
60,60,2778,0,0,2778,0,0,0,0,12742,16382,0,60
61,1,2778,0,827,1951,2643,1247,0,0,5405,5555,61,781
62,2,2778,0,0,2778,2641,868,0,0,8047,8200,0,62
63,9,2778,0,0,2778,0,0,0,0,7611,11937,0,63
64,8,2778,0,0,2778,0,0,0,2,7605,16106,0,64
65,5,2778,0,0,2778,2111,756,0,0,7774,8617,0,65
66,6,2778,0,0,2778,2642,0,0,0,10604,10759,0,66
67,1,2778,0,814,1964,2639,1276,0,0,5402,5558,67,427
68,4,2778,0,0,2778,0,0,0,0,7908,10839,0,68
69,3,2778,0,0,2778,2636,906,0,0,7960,8119,0,69
70,10,2778,0,0,2778,2110,0,0,0,10407,11251,0,70
71,1,2778,0,830,1948,2644,1248,0,1,5397,5549,71,791
72,72,2778,0,0,2778,0,0,0,0,9675,22326,0,72
73,1,2778,0,813,1965,2640,1274,0,1,5402,5555,73,793
74,2,2778,0,0,2778,2637,860,0,0,8047,8205,0,74
75,15,2778,0,0,2778,2119,0,0,0,10306,11167,0,75
76,4,2778,0,0,2778,0,0,0,0,7905,10849,0,76
77,1,2778,0,813,1965,2640,1271,0,0,5407,5561,797,77
78,6,2778,0,0,2778,2639,0,0,0,10613,10767,0,78
79,1,2778,0,806,1972,2637,1289,0,0,5403,5561,79,799
80,40,2778,0,0,2778,0,0,0,0,9884,19062,0,80
81,9,2778,0,0,2778,0,0,0,3,7595,11951,0,81
82,2,2778,0,0,2778,2639,853,0,0,8051,8205,0,82
83,1,2778,0,819,1959,2646,1266,0,0,5403,5551,83,803
84,12,2778,0,0,2778,0,0,0,0,10455,13392,0,84
85,5,2778,0,0,2778,2115,745,0,0,7779,8623,0,85
86,2,2778,0,0,2778,2641,872,0,0,8046,8201,0,86
87,3,2778,0,0,2778,2642,890,0,0,7968,8120,0,87
88,8,2778,0,0,2778,0,0,0,0,7611,16094,0,88
89,1,2778,0,829,1949,2642,1249,0,1,5399,5553,89,1169
90,90,2778,0,0,2778,0,0,0,0,12469,17494,0,90
91,1,2778,0,819,1959,2641,1274,0,0,5394,5549,811,91
92,4,2778,0,0,2778,0,0,0,0,7912,10840,0,92
93,3,2778,0,0,2778,2641,892,0,0,7971,8123,0,93
94,2,2778,0,0,2778,2639,864,0,0,8047,8203,0,94
95,5,2778,0,0,2778,2115,734,0,0,7783,8625,0,95
96,24,2778,0,0,2778,0,0,0,0,10117,18628,0,96
97,1,2778,0,824,1954,2641,1256,0,0,5398,5553,97,817
98,2,2778,0,0,2778,2635,850,0,0,8044,8211,0,98
99,9,2778,0,0,2778,0,0,0,0,7616,11940,0,99
100,20,2778,0,0,2778,0,0,0,0,10242,13863,0,100
101,1,2778,0,804,1974,2642,1300,0,0,5404,5557,101,1541
102,6,2778,0,0,2778,2643,0,0,0,10610,10760,0,102
103,1,2778,0,805,1973,2632,1276,0,0,5409,5571,103,1183
104,8,2778,0,0,2778,0,0,0,0,7609,16092,0,104
105,15,2778,0,0,2778,2106,0,0,0,10306,11160,0,105
106,2,2778,0,0,2778,2642,857,0,0,8049,8202,0,106
107,1,2778,0,822,1956,2642,1266,0,1,5398,5550,107,1547
108,36,2778,0,0,2778,0,0,0,0,10067,17161,0,108
109,1,2778,0,817,1961,2640,1263,0,0,5402,5555,109,469
110,10,2778,0,0,2778,2117,0,0,0,10408,11250,0,110
111,3,2778,0,0,2778,2631,898,0,0,7962,8128,0,111
112,8,2778,0,0,2778,0,0,0,0,7607,16087,0,112
113,1,2778,0,825,1953,2640,1255,0,0,5397,5553,113,473
114,6,2778,0,0,2778,2640,0,0,0,10608,10762,0,114
115,5,2778,0,0,2778,2115,760,0,0,7776,8617,0,115
116,4,2778,0,0,2778,0,0,0,0,7917,10847,0,116
117,9,2778,0,0,2778,0,0,0,0,7615,11931,0,117
118,2,2778,0,0,2778,2639,867,0,0,8046,8202,0,118
119,1,2778,0,821,1957,2643,1266,0,0,5400,5550,479,119
120,120,2778,0,0,2778,0,0,0,0,12343,21527,0,120
121,1,2778,0,797,1981,2629,1296,27,30,5392,5574,1201,121
122,2,2778,0,0,2778,2634,884,0,0,8028,8199,0,122
123,3,2778,0,0,2778,2643,892,0,0,7971,8119,0,123
124,4,2778,0,0,2778,0,0,0,0,7906,10851,0,124
125,5,2778,0,0,2778,2099,731,0,1,7768,8640,0,125
126,18,2778,0,0,2778,0,0,0,0,10228,14559,0,126
127,1,2778,0,830,1948,2640,1245,0,0,5393,5552,127,847
128,8,2778,0,0,2778,0,0,0,2,7602,16105,0,128
129,3,2778,0,0,2778,2641,902,0,0,7968,8119,0,129
130,10,2778,0,0,2778,2102,0,0,0,10398,11261,0,130
131,1,2778,0,807,1971,2635,1288,0,1,5401,5565,131,851
132,12,2778,0,0,2778,0,0,0,0,10464,13391,0,132
133,1,2778,0,819,1959,2636,1261,0,1,5397,5559,853,133
134,2,2778,0,0,2778,2636,860,0,0,8046,8209,0,134
135,45,2778,0,0,2778,0,0,0,0,9887,14906,0,135
136,8,2778,0,0,2778,0,0,0,1,7605,16097,0,136
137,1,2778,0,821,1957,2637,1257,0,0,5402,5561,137,497
138,6,2778,0,0,2778,2644,0,0,0,10615,10764,0,138
139,1,2778,0,814,1964,2637,1274,0,0,5401,5562,139,1219
140,20,2778,0,0,2778,0,0,0,0,10239,13873,0,140
141,3,2778,0,0,2778,2632,901,0,0,7969,8130,0,141
142,2,2778,0,0,2778,2642,867,0,0,8047,8203,0,142
143,1,2778,0,815,1963,2637,1277,0,1,5398,5556,503,143
144,72,2778,0,0,2778,0,0,0,0,9673,22326,0,144
145,5,2778,0,0,2778,2114,756,0,1,7771,8624,0,145
146,2,2778,0,0,2778,2638,861,0,0,8049,8205,0,146
147,3,2778,0,0,2778,2615,862,0,0,7948,8148,0,147
148,4,2778,0,0,2778,0,0,0,0,7903,10839,0,148
149,1,2778,0,814,1964,2642,1279,0,0,5402,5555,149,869
150,30,2778,0,0,2778,2121,0,0,0,12923,13773,0,150
151,1,2778,0,809,1969,2639,1281,0,0,5403,5558,151,511
152,8,2778,0,0,2778,0,0,0,1,7603,16105,0,152
153,9,2778,0,0,2778,0,0,0,0,7619,11931,0,153
154,2,2778,0,0,2778,2639,884,0,0,8038,8196,0,154
155,5,2778,0,0,2778,2107,754,0,0,7768,8625,0,155
156,12,2778,0,0,2778,0,0,0,0,10458,13398,0,156
