kind,lower_exclusive,upper_inclusive,p,p_mod30,total_units,q_total,a_minus_q_total,u_minus_a_total,delta,delta_fine,delta_coarse
cumulative,0,36000,7,7,681,44,130,507,-23/90,-1/9,-5/24
cumulative,0,36000,11,11,457,29,87,341,-7/90,0,-7/72
cumulative,0,36000,13,13,397,24,76,297,13/90,2/9,-1/24
cumulative,0,36000,17,17,312,17,63,232,4/9,2/3,-1/9
cumulative,0,36000,19,19,282,18,50,214,-1/15,-2/9,5/36
cumulative,0,36000,23,23,237,14,46,177,13/90,2/9,-1/24
cumulative,0,36000,29,29,193,13,36,144,-1/6,-1/6,-1/24
cumulative,0,36000,31,1,180,10,30,140,2/9,0,5/18
cumulative,0,36000,37,7,152,9,31,112,4/45,2/9,-1/9
cumulative,0,36000,41,11,138,9,25,104,-1/15,-1/9,1/36
cumulative,0,36000,43,13,131,8,25,98,1/30,1/18,-1/72
cumulative,0,36000,47,17,120,6,24,90,4/15,1/3,0
cumulative,0,36000,53,23,107,7,20,80,-1/18,-1/18,-1/72
cumulative,0,36000,59,29,94,5,20,69,7/45,5/18,-1/12
cumulative,0,36000,61,1,89,6,13,70,-7/90,-5/18,13/72
cumulative,0,36000,67,7,80,4,17,59,8/45,5/18,-1/18
cumulative,0,36000,71,11,76,6,14,56,-2/9,-2/9,-1/18
cumulative,0,36000,73,13,73,6,13,54,-23/90,-5/18,-1/24
cumulative,0,36000,79,19,65,4,11,50,1/90,-1/18,5/72
cumulative,0,36000,83,23,61,3,12,46,13/90,1/6,1/72
cumulative,0,36000,89,29,55,2,11,42,23/90,5/18,1/24
cumulative,0,36000,97,7,48,3,9,36,0,0,0
cumulative,0,36000,101,11,45,2,7,36,13/90,1/18,1/8
cumulative,0,36000,103,13,43,2,8,33,11/90,1/9,1/24
cumulative,0,36000,107,17,39,1,10,28,23/90,7/18,-5/72
cumulative,0,36000,109,19,37,2,6,29,1/18,0,5/72
cumulative,0,36000,113,23,36,3,7,26,-2/15,-1/9,-1/18
cumulative,0,36000,127,7,30,1,5,24,7/45,1/9,1/12
cumulative,0,36000,131,11,26,2,4,20,-1/15,-1/9,1/36
cumulative,0,36000,137,17,22,2,4,16,-1/9,-1/9,-1/36
cumulative,0,36000,139,19,21,1,5,15,1/18,1/9,-1/24
cumulative,0,36000,149,29,18,0,3,15,1/5,1/6,1/12
cumulative,0,36000,151,1,15,1,3,11,-1/90,0,-1/72
cumulative,0,36000,157,7,13,0,3,10,13/90,1/6,1/72
cumulative,0,36000,163,13,9,0,1,8,1/10,1/18,5/72
cumulative,0,36000,167,17,8,0,2,6,4/45,1/9,0
cumulative,0,36000,173,23,6,1,0,5,-1/9,-1/6,1/36
cumulative,0,36000,179,29,5,0,1,4,1/18,1/18,1/72
cumulative,0,36000,181,1,3,0,0,3,1/30,0,1/24
