kind,lower_exclusive,upper_inclusive,p,p_mod30,total_units,q_total,a_minus_q_total,u_minus_a_total,delta,delta_fine,delta_coarse
interval,360000,3600000,7,7,37357,2359,6997,28001,-43/10,-40/9,-67/72
interval,360000,3600000,11,11,24672,1543,4631,18498,-8/45,1/9,-1/3
interval,360000,3600000,13,13,21179,1325,3993,15861,-7/30,1,-31/24
interval,360000,3600000,17,17,16576,1034,3122,12420,16/45,10/9,-2/3
interval,360000,3600000,19,19,14967,931,2794,11242,71/90,1/18,67/72
interval,360000,3600000,23,23,12570,776,2365,9429,77/45,37/18,1/12
interval,360000,3600000,29,29,10177,638,1908,7631,-31/90,-1/3,-7/72
interval,360000,3600000,31,1,9577,600,1776,7201,-23/90,-4/3,73/72
interval,360000,3600000,37,7,8159,516,1532,6111,-97/90,-8/9,-11/24
interval,360000,3600000,41,11,7433,459,1413,5561,89/90,2,-55/72
interval,360000,3600000,43,13,7122,440,1345,5337,41/45,25/18,-1/4
interval,360000,3600000,47,17,6562,413,1233,4916,-23/45,-1/3,-11/36
interval,360000,3600000,53,23,5889,358,1130,4401,161/90,28/9,-7/8
interval,360000,3600000,59,29,5351,333,1009,4009,23/90,5/9,-17/72
interval,360000,3600000,61,1,5189,330,957,3902,-91/90,-11/6,41/72
interval,360000,3600000,67,7,4768,299,901,3568,-8/45,2/9,-4/9
interval,360000,3600000,71,11,4519,290,848,3381,-121/90,-11/9,-11/24
interval,360000,3600000,73,13,4409,280,831,3298,-71/90,-1/2,-35/72
interval,360000,3600000,79,19,4107,256,755,3096,11/90,-13/18,7/8
interval,360000,3600000,83,23,3930,250,733,2947,-7/9,-17/18,-1/36
interval,360000,3600000,89,29,3683,230,697,2756,1/30,7/18,-25/72
interval,360000,3600000,97,7,3415,212,649,2554,23/90,13/18,-29/72
interval,360000,3600000,101,11,3294,216,613,2465,-9/5,-35/18,-11/36
interval,360000,3600000,103,13,3241,202,612,2427,1/10,1/3,-5/24
interval,360000,3600000,107,17,3132,198,589,2345,-2/5,-5/18,-2/9
interval,360000,3600000,109,19,3076,189,563,2324,26/45,-2/9,17/18
interval,360000,3600000,113,23,2972,192,551,2229,-10/9,-25/18,0
interval,360000,3600000,127,7,2674,164,501,2009,5/9,1/2,7/36
interval,360000,3600000,131,11,2602,163,491,1948,-1/15,1/9,-7/36
interval,360000,3600000,137,17,2507,165,467,1875,-133/90,-14/9,-7/24
interval,360000,3600000,139,19,2472,154,461,1857,4/45,-1/18,1/6
interval,360000,3600000,149,29,2331,150,436,1745,-23/30,-7/9,-13/72
interval,360000,3600000,151,1,2298,149,415,1734,-43/45,-16/9,7/12
interval,360000,3600000,157,7,2218,140,415,1663,-11/45,-5/18,-1/36
interval,360000,3600000,163,13,2146,143,397,1606,-71/45,-16/9,-7/36
interval,360000,3600000,167,17,2092,134,388,1570,-26/45,-7/9,1/18
interval,360000,3600000,173,23,2032,122,385,1525,8/9,19/18,1/18
interval,360000,3600000,179,29,1968,126,371,1471,-8/15,-7/18,-5/18
interval,360000,3600000,181,1,1949,123,358,1468,-19/90,-11/18,25/72
interval,360000,3600000,191,11,1858,112,355,1391,11/15,19/18,-5/36
interval,360000,3600000,193,13,1846,118,349,1379,-7/15,-5/18,-11/36
interval,360000,3600000,197,17,1813,108,348,1357,17/18,4/3,-11/72
interval,360000,3600000,199,19,1794,121,322,1351,-71/45,-41/18,11/36
interval,360000,3600000,211,1,1702,101,314,1287,43/45,11/18,7/12
interval,360000,3600000,223,13,1624,97,312,1215,4/5,7/6,-1/6
interval,360000,3600000,227,17,1598,99,307,1192,7/45,5/9,-13/36
interval,360000,3600000,229,19,1583,101,289,1193,-11/30,-7/9,23/72
interval,360000,3600000,233,23,1561,102,295,1164,-71/90,-11/18,-3/8
interval,360000,3600000,239,29,1520,96,286,1138,-8/45,-1/9,-1/9
interval,360000,3600000,241,1,1510,83,284,1143,91/45,35/18,7/12
interval,360000,3600000,251,11,1455,96,270,1089,-9/10,-1,-1/8
interval,360000,3600000,257,17,1430,90,270,1070,-1/9,0,-5/36
interval,360000,3600000,263,23,1398,90,262,1046,-7/15,-4/9,-5/36
interval,360000,3600000,269,29,1370,83,261,1026,7/15,2/3,-1/12
interval,360000,3600000,271,1,1360,86,246,1028,-8/45,-2/3,4/9
interval,360000,3600000,277,7,1336,84,253,999,-4/45,1/18,-1/6
interval,360000,3600000,281,11,1320,83,250,987,-4/45,1/18,-1/6
interval,360000,3600000,283,13,1313,84,247,982,-31/90,-5/18,-11/72
interval,360000,3600000,293,23,1269,83,236,950,-59/90,-13/18,-7/72
interval,360000,3600000,307,7,1214,79,224,911,-5/9,-13/18,1/36
interval,360000,3600000,311,11,1201,77,224,900,-31/90,-7/18,-1/24
interval,360000,3600000,313,13,1198,74,224,900,7/45,1/9,1/12
interval,360000,3600000,317,17,1183,78,221,884,-13/18,-13/18,-13/72
interval,360000,3600000,331,1,1141,66,217,858,17/18,19/18,1/8
interval,360000,3600000,337,7,1123,68,211,844,7/18,7/18,7/72
interval,360000,3600000,347,17,1098,69,208,821,-1/15,1/18,-5/36
interval,360000,3600000,349,19,1092,72,199,821,-2/3,-17/18,1/9
interval,360000,3600000,353,23,1081,66,205,810,5/18,7/18,-1/24
interval,360000,3600000,359,29,1063,66,199,798,7/90,1/18,1/24
interval,360000,3600000,367,7,1044,65,196,783,2/45,1/18,0
interval,360000,3600000,373,13,1030,63,196,771,11/45,7/18,-1/12
interval,360000,3600000,379,19,1016,57,192,767,52/45,7/6,5/18
interval,360000,3600000,383,23,1003,61,192,750,3/10,1/2,-1/8
interval,360000,3600000,389,29,989,63,184,742,-19/90,-5/18,1/72
interval,360000,3600000,397,7,973,58,187,728,1/2,13/18,-7/72
interval,360000,3600000,401,11,962,58,181,723,17/45,7/18,1/12
interval,360000,3600000,409,19,944,56,176,712,8/15,4/9,2/9
interval,360000,3600000,419,29,920,60,169,691,-4/9,-11/18,1/18
interval,360000,3600000,421,1,919,58,166,695,-1/10,-4/9,23/72
interval,360000,3600000,431,11,900,57,170,673,-2/15,-1/18,-1/9
interval,360000,3600000,433,13,898,58,168,672,-1/3,-1/3,-1/12
interval,360000,3600000,439,19,887,57,157,673,-5/18,-7/9,31/72
interval,360000,3600000,443,23,881,54,170,657,17/90,4/9,-5/24
interval,360000,3600000,449,29,871,54,167,650,7/90,5/18,-13/72
interval,360000,3600000,457,7,857,55,161,641,-23/90,-2/9,-7/72
interval,360000,3600000,461,11,850,53,162,635,1/45,1/6,-5/36
interval,360000,3600000,463,13,848,53,162,633,0,1/6,-1/6
interval,360000,3600000,467,17,842,51,161,630,13/45,4/9,-1/12
interval,360000,3600000,479,29,818,52,158,608,-7/45,1/9,-11/36
interval,360000,3600000,487,7,807,52,153,602,-5/18,-1/6,-13/72
interval,360000,3600000,491,11,804,54,152,598,-2/3,-5/9,-5/18
interval,360000,3600000,499,19,794,47,143,604,7/15,1/9,17/36
interval,360000,3600000,503,23,788,50,145,593,-2/15,-5/18,1/9
interval,360000,3600000,509,29,782,48,152,582,7/45,4/9,-1/4
interval,360000,3600000,521,11,764,48,148,568,-2/45,2/9,-5/18
interval,360000,3600000,523,13,762,49,146,567,-11/45,-1/18,-1/4
interval,360000,3600000,541,1,736,43,134,559,8/15,5/18,7/18
interval,360000,3600000,547,7,733,47,140,546,-19/90,-1/18,-5/24
interval,360000,3600000,557,17,721,51,131,539,-19/18,-11/9,-7/72
interval,360000,3600000,563,23,718,41,141,536,31/45,1,-5/36
interval,360000,3600000,569,29,708,43,136,529,2/9,7/18,-1/9
interval,360000,3600000,571,1,706,43,127,536,1/5,-1/9,13/36
interval,360000,3600000,577,7,697,43,134,520,1/10,5/18,-11/72
interval,360000,3600000,587,17,687,39,134,514,7/10,17/18,-5/72
interval,360000,3600000,593,23,680,41,131,508,4/15,4/9,-1/9
interval,360000,3600000,599,29,674,43,127,504,-7/45,-1/9,-1/12
interval,360000,3600000,601,1,673,37,125,511,9/10,7/9,25/72
interval,360000,3600000,607,7,668,44,125,499,-2/5,-7/18,-1/9
interval,360000,3600000,613,13,661,41,126,494,1/18,1/6,-7/72
interval,360000,3600000,617,17,652,39,124,489,14/45,7/18,0
interval,360000,3600000,619,19,649,40,116,493,1/10,-2/9,25/72
interval,360000,3600000,631,1,636,40,112,484,-2/45,-4/9,7/18
interval,360000,3600000,641,11,622,39,119,464,-1/45,1/9,-5/36
interval,360000,3600000,643,13,621,39,119,463,-1/30,1/9,-11/72
interval,360000,3600000,647,17,616,38,117,461,4/45,1/6,-1/18
