group_type,group,p_count,total_units,q_total,a_minus_q_total,u_minus_a_total,delta,delta_fine,delta_coarse
all,middle interval,106,39883,2491,7460,29932,3/10,-13/18,79/72
lower-bound regime,p<=189,39,33381,2106,6245,25030,-7/2,-73/18,-23/72
lower-bound regime,p>189,67,6502,385,1215,4902,19/5,10/3,17/12
factor MOD30 family,"p mod30 in {1,19}",22,7098,440,1278,5380,29/45,-7/3,113/36
factor MOD30 family,"p mod30 outside {1,19}",84,32785,2051,6182,24552,-31/90,29/18,-49/24
cross,"p<=189 & p mod30 in {1,19}",8,5546,349,1006,4191,-19/45,-41/18,7/4
cross,"p<=189 & p mod30 outside {1,19}",31,27835,1757,5239,20839,-277/90,-16/9,-149/72
cross,"p>189 & p mod30 in {1,19}",14,1552,91,272,1189,16/15,-1/18,25/18
cross,"p>189 & p mod30 outside {1,19}",53,4950,294,943,3713,41/15,61/18,1/36
p mod30,1,11,3204,203,574,2427,-22/45,-35/18,4/3
p mod30,7,15,7980,499,1516,5965,-2/45,19/18,-10/9
p mod30,11,14,6283,387,1184,4712,91/90,23/18,-1/72
p mod30,13,13,5720,358,1074,4288,-4/45,0,-1/9
p mod30,17,13,4805,305,899,3601,-5/6,-8/9,-11/72
p mod30,19,11,3894,237,704,2953,17/15,-7/18,65/36
p mod30,23,14,4266,269,802,3195,-19/45,-5/18,-1/4
p mod30,29,15,3731,233,707,2791,1/30,4/9,-29/72
product block,"(36000,72000]",53,4485,273,838,3374,13/10,19/18,41/72
product block,"(72000,108000]",63,4475,264,850,3361,251/90,29/9,19/72
product block,"(108000,144000]",71,4440,284,833,3323,-52/45,-19/18,-7/18
product block,"(144000,180000]",78,4446,269,835,3342,71/45,14/9,5/12
product block,"(180000,216000]",86,4426,291,832,3303,-23/9,-41/18,-11/12
product block,"(216000,252000]",92,4413,279,819,3315,-17/30,-1,7/24
product block,"(252000,288000]",96,4440,275,851,3314,4/9,13/9,-8/9
product block,"(288000,324000]",100,4393,272,795,3326,41/90,-7/6,125/72
product block,"(324000,360000]",106,4365,284,807,3274,-179/90,-5/2,1/72
