kind,lower_exclusive,upper_inclusive,metric,total_all,total_units,square_total,family_A_total,delta,delta_fine,delta_coarse,energy,energy_fine,energy_coarse,fine_energy_share,min,max,min_residues,max_residues
cumulative,0,36000,primes,3824,3821,219,937,317/90,61/18,73/72,93431/96,11431/12,661/32,91448/93431,32,46,77;299,127
cumulative,0,36000,composites,32175,5778,380,1462,-151/45,-29/9,-35/36,7781/8,5719/6,467/24,22876/23343,54,68,127,77;299
cumulative,0,36000,semiprimes,8861,4443,304,1136,-421/90,-40/9,-101/72,66989/32,24649/12,3775/96,197192/200967,38,58,17;331,299
cumulative,0,36000,distinct_semiprimes,8819,4404,265,1097,82/45,37/18,2/9,3981/2,5959/3,25/6,11918/11943,38,58,17;289;331,299
cumulative,0,36000,prime_squares,42,39,39,39,-13/2,-13/2,-13/8,7653/32,765/4,1533/32,2040/2551,0,7,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;77;79;83;89;91;97;101;103;107;109;113;119;127;131;133;137;139;143;149;151;157;161;163;167;173;179;181;187;191;193;197;199;203;209;211;217;221;223;227;229;233;239;247;251;253;257;259;263;269;271;277;281;283;287;293;299;301;307;311;313;317;319;323;329;331;337;341;343;347;349;353;359,49;169;289
cumulative,0,36000,squarefree,21885,9121,544,2262,139/30,43/9,73/72,22367/96,833/4,2375/96,19992/22367,90,98,49;289,109;203
cumulative,0,360000,primes,30757,30754,1863,7656,473/45,34/3,65/36,98207/24,12016/3,693/8,96128/98207,301,334,169,127;197;311
cumulative,0,360000,composites,329242,65245,4136,16343,-931/90,-67/6,-127/72,391895/96,15993/4,8063/96,383832/391895,666,699,127;197;311,169
cumulative,0,360000,semiprimes,79161,44393,2862,11154,-1399/90,-49/3,-223/72,1203407/96,147007/12,9117/32,1176056/1203407,434,497,127,169
cumulative,0,360000,distinct_semiprimes,79052,44287,2756,11048,191/90,4/3,95/72,1073375/96,132457/12,4573/32,1059656/1073375,434,484,127,151
cumulative,0,360000,prime_squares,109,106,106,106,-53/3,-53/3,-53/12,42311/24,8467/6,8443/24,33868/42311,0,19,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;77;79;83;89;91;97;101;103;107;109;113;119;127;131;133;137;139;143;149;151;157;161;163;167;173;179;181;187;191;193;197;199;203;209;211;217;221;223;227;229;233;239;247;251;253;257;259;263;269;271;277;281;283;287;293;299;301;307;311;313;317;319;323;329;331;337;341;343;347;349;353;359,49;289
cumulative,0,360000,squarefree,218866,91196,5653,22766,374/45,77/9,11/6,6035/6,2762/3,511/6,5524/6035,940,956,49,347
cumulative,0,3600000,primes,256726,256723,15900,64052,2323/90,226/9,515/72,3592055/96,431893/12,45637/32,3455144/3592055,2620,2725,169,313
cumulative,0,3600000,composites,3343273,703276,44099,175947,-1154/45,-449/18,-64/9,224411/6,107945/3,8521/6,215890/224411,7275,7380,313,169
cumulative,0,3600000,semiprimes,715106,429070,27047,107497,-1841/45,-691/18,-51/4,3364271/24,809615/6,41937/8,3238460/3364271,4378,4576,313,169
cumulative,0,3600000,distinct_semiprimes,714816,428783,26760,107210,623/90,85/9,-19/24,12496895/96,1535119/12,71981/32,12280952/12496895,4378,4535,313,41
cumulative,0,3600000,prime_squares,290,287,287,287,-287/6,-287/6,-287/24,1238111/96,123851/12,247303/96,141544/176873,0,52,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;77;79;83;89;91;97;101;103;107;109;113;119;127;131;133;137;139;143;149;151;157;161;163;167;173;179;181;187;191;193;197;199;203;209;211;217;221;223;227;229;233;239;247;251;253;257;259;263;269;271;277;281;283;287;293;299;301;307;311;313;317;319;323;329;331;337;341;343;347;349;353;359,169
cumulative,0,3600000,squarefree,2188544,911892,56917,227917,122/9,83/6,28/9,5709/2,15649/6,739/3,15649/17127,9481,9509,169,107
interval,0,36000,primes,3824,3821,219,937,317/90,61/18,73/72,93431/96,11431/12,661/32,91448/93431,32,46,77;299,127
