r,primes_36000,semiprimes_36000,squarefree_36000,prime_squares_36000,primes_360000,semiprimes_360000,squarefree_360000,prime_squares_360000,primes_3600000,semiprimes_3600000,squarefree_3600000,prime_squares_3600000
0,0,0,0,0,0,0,0,0,0,0,0,0
1,39,46,91,6,315,464,945,16,2666,4475,9490,45
2,1,40,93,0,1,338,947,0,1,2783,9495,0
3,1,37,86,0,1,340,934,0,1,2872,9470,0
4,0,1,0,1,0,1,0,1,0,1,0,1
5,1,34,73,0,1,293,755,0,1,2400,7587,0
6,0,1,90,0,0,1,938,0,0,1,9482,0
7,41,43,95,0,317,467,949,0,2667,4495,9497,0
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,0,1,0,1,0,1,0,1,0,1
10,0,1,74,0,0,1,754,0,0,1,7589,0
11,41,43,95,0,327,453,951,0,2660,4484,9495,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,43,42,96,0,325,455,947,0,2683,4455,9490,0
14,0,49,95,0,0,343,952,0,0,2808,9497,0
15,0,1,68,0,0,1,743,0,0,1,7569,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,44,38,95,0,311,477,953,0,2657,4504,9498,0
18,0,0,0,0,0,0,0,0,0,0,0,0
19,42,43,94,0,327,456,950,0,2665,4496,9494,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,48,93,0,0,354,948,0,0,2891,9494,0
22,0,47,96,0,0,337,951,0,0,2817,9498,0
23,42,43,94,0,325,456,953,0,2662,4484,9495,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,38,77,1,0,300,763,1,0,2415,7605,1
26,0,47,95,0,0,342,951,0,0,2836,9499,0
27,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
29,42,44,95,0,314,468,953,0,2687,4437,9501,0
30,0,0,71,0,0,0,745,0,0,0,7579,0
31,42,46,95,0,322,458,953,0,2663,4494,9502,0
32,0,0,0,0,0,0,0,0,0,0,0,0
33,0,46,93,0,0,354,946,0,0,2878,9494,0
34,0,45,95,0,0,346,951,0,0,2809,9498,0
35,0,40,75,0,0,303,759,0,0,2403,7594,0
36,0,0,0,0,0,0,0,0,0,0,0,0
37,43,41,94,0,318,461,947,0,2684,4443,9492,0
38,0,46,94,0,0,337,953,0,0,2830,9497,0
39,0,41,93,0,0,358,943,0,0,2914,9488,0
40,0,0,0,0,0,0,0,0,0,0,0,0
41,41,46,95,0,310,482,952,0,2642,4535,9502,0
42,0,0,95,0,0,0,948,0,0,0,9494,0
43,44,41,96,0,318,465,950,0,2683,4452,9495,0
44,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0
46,0,44,95,0,0,346,954,0,0,2821,9502,0
47,40,46,95,0,325,455,950,0,2671,4469,9490,0
48,0,0,0,0,0,0,0,0,0,0,0,0
49,34,55,90,7,308,478,940,19,2649,4510,9488,47
50,0,0,77,0,0,0,763,0,0,0,7606,0
51,0,49,96,0,0,358,951,0,0,2894,9501,0
52,0,0,0,0,0,0,0,0,0,0,0,0
53,38,49,95,0,325,460,953,0,2673,4477,9499,0
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,38,75,0,0,301,762,0,0,2416,7603,0
56,0,0,0,0,0,0,0,0,0,0,0,0
57,0,44,96,0,0,352,949,0,0,2891,9496,0
58,0,40,97,0,0,341,951,0,0,2806,9501,0
59,42,43,94,0,323,459,949,0,2709,4381,9497,0
60,0,0,0,0,0,0,0,0,0,0,0,0
61,43,42,96,0,329,447,954,0,2658,4507,9506,0
62,0,41,95,0,0,345,950,0,0,2803,9499,0
63,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0
65,0,42,75,0,0,303,758,0,0,2414,7598,0
66,0,0,96,0,0,0,952,0,0,0,9504,0
67,41,44,95,0,312,482,953,0,2705,4415,9501,0
68,0,0,0,0,0,0,0,0,0,0,0,0
69,0,47,95,0,0,356,946,0,0,2900,9495,0
70,0,0,75,0,0,0,759,0,0,0,7596,0
71,40,47,96,0,320,458,952,0,2671,4471,9504,0
72,0,0,0,0,0,0,0,0,0,0,0,0
73,43,42,97,0,323,459,953,0,2662,4505,9504,0
74,0,43,94,0,0,345,952,0,0,2819,9496,0
75,0,0,79,0,0,0,767,0,0,0,7611,0
76,0,0,0,0,0,0,0,0,0,0,0,0
77,32,57,95,0,314,478,953,0,2674,4464,9501,0
78,0,0,96,0,0,0,951,0,0,0,9498,0
79,41,46,97,0,324,457,948,0,2645,4519,9494,0
80,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0
82,0,41,95,0,0,329,954,0,0,2811,9503,0
83,44,41,95,0,325,459,955,0,2643,4528,9504,0
84,0,0,0,0,0,0,0,0,0,0,0,0
85,0,34,76,0,0,294,760,0,0,2399,7603,0
86,0,44,94,0,0,346,948,0,0,2842,9496,0
87,0,44,96,0,0,356,952,0,0,2893,9499,0
88,0,0,0,0,0,0,0,0,0,0,0,0
89,38,49,94,0,324,454,954,0,2666,4486,9498,0
90,0,0,0,0,0,0,0,0,0,0,0,0
91,42,41,94,0,314,476,949,0,2663,4488,9505,0
92,0,0,0,0,0,0,0,0,0,0,0,0
93,0,46,96,0,0,348,951,0,0,2920,9500,0
94,0,45,97,0,0,351,950,0,0,2816,9500,0
95,0,39,76,0,0,287,763,0,0,2429,7601,0
96,0,0,0,0,0,0,0,0,0,0,0,0
97,39,50,96,0,323,456,954,0,2651,4507,9508,0
98,0,36,91,0,0,333,944,0,0,2798,9492,0
99,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0
101,42,45,96,0,320,466,949,0,2662,4480,9503,0
102,0,0,97,0,0,0,954,0,0,0,9504,0
103,38,49,95,0,317,460,948,0,2673,4451,9499,0
104,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,75,0,0,0,758,0,0,0,7591,0
106,0,41,96,0,0,333,952,0,0,2807,9507,0
107,40,46,96,0,317,470,953,0,2703,4414,9509,0
108,0,0,0,0,0,0,0,0,0,0,0,0
109,36,52,98,0,332,444,952,0,2662,4475,9502,0
110,0,0,76,0,0,0,764,0,0,0,7606,0
111,0,48,94,0,0,355,947,0,0,2902,9487,0
112,0,0,0,0,0,0,0,0,0,0,0,0
113,39,48,95,0,322,467,950,0,2687,4440,9499,0
114,0,0,96,0,0,0,953,0,0,0,9500,0
115,0,43,77,0,0,302,762,0,0,2430,7606,0
116,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0
118,0,41,96,0,0,339,950,0,0,2835,9500,0
119,44,40,96,0,312,475,954,0,2679,4453,9507,0
120,0,0,0,0,0,0,0,0,0,0,0,0
121,34,55,91,6,316,473,942,17,2625,4550,9488,48
122,0,42,93,0,0,341,945,0,0,2800,9498,0
123,0,40,97,0,0,356,955,0,0,2903,9503,0
124,0,0,0,0,0,0,0,0,0,0,0,0
125,0,36,72,0,0,288,751,0,0,2382,7589,0
126,0,0,0,0,0,0,0,0,0,0,0,0
127,46,39,94,0,334,434,951,0,2696,4414,9497,0
128,0,0,0,0,0,0,0,0,0,0,0,0
129,0,48,96,0,0,363,954,0,0,2889,9502,0
130,0,0,73,0,0,0,755,0,0,0,7587,0
131,39,47,94,0,318,461,945,0,2663,4490,9497,0
132,0,0,0,0,0,0,0,0,0,0,0,0
133,37,49,94,0,320,458,949,0,2667,4472,9495,0
134,0,42,94,0,0,329,949,0,0,2793,9501,0
135,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0
137,37,50,95,0,318,466,949,0,2667,4485,9503,0
138,0,0,97,0,0,0,955,0,0,0,9504,0
139,39,50,96,0,325,451,950,0,2665,4492,9500,0
140,0,0,0,0,0,0,0,0,0,0,0,0
141,0,44,95,0,0,349,948,0,0,2905,9491,0
142,0,42,95,0,0,337,952,0,0,2818,9505,0
143,39,48,95,0,320,468,950,0,2656,4509,9501,0
144,0,0,0,0,0,0,0,0,0,0,0,0
145,0,39,79,0,0,291,762,0,0,2416,7604,0
146,0,44,95,0,0,332,950,0,0,2829,9503,0
147,0,38,84,0,0,342,932,0,0,2850,9466,0
148,0,0,0,0,0,0,0,0,0,0,0,0
149,42,44,95,0,317,470,953,0,2656,4510,9503,0
150,0,0,79,0,0,0,768,0,0,0,7614,0
151,38,48,94,0,311,484,948,0,2671,4484,9501,0
152,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0
154,0,41,96,0,0,327,949,0,0,2829,9505,0
155,0,37,76,0,0,291,762,0,0,2424,7598,0
156,0,0,0,0,0,0,0,0,0,0,0,0
157,43,43,93,0,322,460,946,0,2642,4534,9499,0
158,0,38,96,0,0,337,951,0,0,2791,9500,0
159,0,51,97,0,0,361,954,0,0,2894,9505,0
160,0,0,0,0,0,0,0,0,0,0,0,0
161,39,49,96,0,324,461,952,0,2663,4482,9500,0
162,0,0,0,0,0,0,0,0,0,0,0,0
163,38,51,95,0,320,465,950,0,2664,4481,9502,0
164,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,77,0,0,0,762,0,0,0,7606,0
166,0,46,96,0,0,334,949,0,0,2820,9503,0
167,37,52,95,0,323,456,946,0,2649,4528,9498,0
168,0,0,0,0,0,0,0,0,0,0,0,0
169,37,52,91,7,301,497,942,17,2620,4576,9481,52
170,0,0,78,0,0,0,765,0,0,0,7607,0
171,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0
173,35,54,96,0,326,460,951,0,2671,4488,9503,0
174,0,0,97,0,0,0,954,0,0,0,9506,0
175,0,41,77,0,0,299,758,0,0,2418,7601,0
176,0,0,0,0,0,0,0,0,0,0,0,0
177,0,46,94,0,0,359,945,0,0,2922,9488,0
178,0,47,96,0,0,338,953,0,0,2800,9507,0
179,45,39,94,0,325,446,947,0,2674,4471,9492,0
180,0,0,0,0,0,0,0,0,0,0,0,0
181,39,47,96,0,317,472,950,0,2662,4494,9502,0
182,0,44,97,0,0,331,948,0,0,2834,9497,0
183,0,47,97,0,0,353,956,0,0,2883,9509,0
184,0,0,0,0,0,0,0,0,0,0,0,0
185,0,36,76,0,0,293,760,0,0,2410,7593,0
186,0,0,95,0,0,0,949,0,0,0,9497,0
187,41,43,95,0,317,472,949,0,2663,4474,9504,0
188,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,77,0,0,0,759,0,0,0,7596,0
191,41,44,97,0,319,463,953,0,2680,4459,9505,0
192,0,0,0,0,0,0,0,0,0,0,0,0
193,38,47,96,0,311,479,954,0,2686,4445,9507,0
194,0,41,97,0,0,336,949,0,0,2826,9492,0
195,0,0,76,0,0,0,760,0,0,0,7599,0
196,0,0,0,0,0,0,0,0,0,0,0,0
197,43,44,97,0,334,437,949,0,2682,4460,9500,0
198,0,0,0,0,0,0,0,0,0,0,0,0
199,40,45,95,0,311,479,951,0,2672,4482,9499,0
200,0,0,0,0,0,0,0,0,0,0,0,0
201,0,45,96,0,0,350,950,0,0,2909,9499,0
202,0,46,95,0,0,347,950,0,0,2859,9503,0
203,33,56,98,0,314,472,951,0,2692,4450,9505,0
204,0,0,0,0,0,0,0,0,0,0,0,0
205,0,41,77,0,0,296,762,0,0,2420,7599,0
206,0,44,96,0,0,347,949,0,0,2814,9496,0
207,0,0,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0,0,0
209,37,52,97,0,325,462,950,0,2686,4462,9500,0
210,0,0,76,0,0,0,760,0,0,0,7595,0
211,38,51,96,0,327,451,947,0,2688,4449,9493,0
212,0,0,0,0,0,0,0,0,0,0,0,0
213,0,45,97,0,0,356,957,0,0,2914,9512,0
214,0,44,95,0,0,335,953,0,0,2838,9502,0
215,0,38,77,0,0,299,761,0,0,2425,7598,0
216,0,0,0,0,0,0,0,0,0,0,0,0
217,35,50,95,0,319,470,953,0,2685,4456,9503,0
218,0,41,92,0,0,342,947,0,0,2811,9490,0
219,0,48,97,0,0,347,956,0,0,2908,9509,0
220,0,0,0,0,0,0,0,0,0,0,0,0
221,44,40,96,0,320,469,951,0,2692,4426,9497,0
222,0,0,95,0,0,0,949,0,0,0,9498,0
223,41,45,93,0,331,444,950,0,2678,4453,9496,0
224,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0
226,0,47,97,0,0,349,949,0,0,2809,9497,0
227,39,48,97,0,331,448,953,0,2699,4441,9503,0
228,0,0,0,0,0,0,0,0,0,0,0,0
229,41,45,95,0,327,456,954,0,2688,4447,9504,0
230,0,0,78,0,0,0,764,0,0,0,7605,0
231,0,42,96,0,0,348,952,0,0,2920,9505,0
232,0,0,0,0,0,0,0,0,0,0,0,0
233,41,47,96,0,309,481,947,0,2690,4437,9501,0
234,0,0,0,0,0,0,0,0,0,0,0,0
235,0,37,78,0,0,299,761,0,0,2415,7604,0
236,0,0,0,0,0,0,0,0,0,0,0,0
237,0,48,95,0,0,364,950,0,0,2910,9500,0
238,0,42,94,0,0,336,950,0,0,2794,9505,0
239,41,45,97,0,315,472,952,0,2707,4403,9504,0
240,0,0,0,0,0,0,0,0,0,0,0,0
241,35,51,91,6,313,470,941,18,2685,4435,9483,47
242,0,40,93,0,0,332,946,0,0,2783,9486,0
243,0,0,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0
245,0,35,71,0,0,290,752,0,0,2403,7589,0
246,0,0,96,0,0,0,954,0,0,0,9507,0
247,35,51,93,0,317,467,947,0,2653,4507,9497,0
248,0,0,0,0,0,0,0,0,0,0,0,0
249,0,44,97,0,0,357,957,0,0,2914,9513,0
250,0,0,72,0,0,0,752,0,0,0,7591,0
251,38,48,94,0,315,474,949,0,2670,4485,9492,0
252,0,0,0,0,0,0,0,0,0,0,0,0
253,39,47,93,0,310,477,946,0,2646,4525,9496,0
254,0,42,95,0,0,347,947,0,0,2836,9497,0
