k,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14
1,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2,2,4,6,8,10,12,14,4,6,8,10,12,14,4
3,3,6,9,12,3,6,9,12,3,6,9,12,3,6
4,4,8,12,4,8,12,4,8,12,4,8,12,4,8
5,5,10,3,8,13,6,11,4,9,14,7,12,5,10
6,6,12,6,12,6,12,6,12,6,12,6,12,6,12
7,7,14,9,4,11,6,13,8,3,10,5,12,7,14
8,8,4,12,8,4,12,8,4,12,8,4,12,8,4
9,9,6,3,12,9,6,3,12,9,6,3,12,9,6
10,10,8,6,4,14,12,10,8,6,4,14,12,10,8
11,11,10,9,8,7,6,5,4,3,14,13,12,11,10
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,13,14,3,4,5,6,7,8,9,10,11,12,13,14
14,14,4,6,8,10,12,14,4,6,8,10,12,14,4
