r,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,4,8,16,32,64,128,256,152,304,248,136,272,184
3,3,9,27,81,243,9,27,81,243,9,27,81,243,9
4,4,16,64,256,304,136,184,16,64,256,304,136,184,16
5,5,25,125,265,245,145,5,25,125,265,245,145,5,25
6,6,36,216,216,216,216,216,216,216,216,216,216,216,216
7,7,49,343,241,247,289,223,121,127,169,103,1,7,49
8,8,64,152,136,8,64,152,136,8,64,152,136,8,64
9,9,81,9,81,9,81,9,81,9,81,9,81,9,81
10,10,100,280,280,280,280,280,280,280,280,280,280,280,280
11,11,121,251,241,131,1,11,121,251,241,131,1,11,121
12,12,144,288,216,72,144,288,216,72,144,288,216,72,144
13,13,169,37,121,133,289,157,241,253,49,277,1,13,169
14,14,196,224,256,344,136,104,16,224,256,344,136,104,16
15,15,225,135,225,135,225,135,225,135,225,135,225,135,225
16,16,256,136,16,256,136,16,256,136,16,256,136,16,256
17,17,289,233,1,17,289,233,1,17,289,233,1,17,289
18,18,324,72,216,288,144,72,216,288,144,72,216,288,144
19,19,1,19,1,19,1,19,1,19,1,19,1,19,1
20,20,40,80,160,320,280,200,40,80,160,320,280,200,40
21,21,81,261,81,261,81,261,81,261,81,261,81,261,81
22,22,124,208,256,232,64,328,16,352,184,88,136,112,304
23,23,169,287,121,263,289,167,241,143,49,47,1,23,169
24,24,216,144,216,144,216,144,216,144,216,144,216,144,216
25,25,265,145,25,265,145,25,265,145,25,265,145,25,265
26,26,316,296,136,296,136,296,136,296,136,296,136,296,136
27,27,9,243,81,27,9,243,81,27,9,243,81,27,9
28,28,64,352,136,208,64,352,136,208,64,352,136,208,64
29,29,121,269,241,149,1,29,121,269,241,149,1,29,121
30,30,180,0,0,0,0,0,0,0,0,0,0,0,0
31,31,241,271,121,151,1,31,241,271,121,151,1,31,241
32,32,304,8,256,272,64,248,16,152,184,128,136,32,304
33,33,9,297,81,153,9,297,81,153,9,297,81,153,9
34,34,76,64,16,184,136,304,256,64,16,184,136,304,256
35,35,145,35,145,35,145,35,145,35,145,35,145,35,145
36,36,216,216,216,216,216,216,216,216,216,216,216,216,216
37,37,289,253,1,37,289,253,1,37,289,253,1,37,289
38,38,4,152,16,248,64,272,256,8,304,32,136,128,184
39,39,81,279,81,279,81,279,81,279,81,279,81,279,81
40,40,160,280,40,160,280,40,160,280,40,160,280,40,160
41,41,241,161,121,281,1,41,241,161,121,281,1,41,241
