n,prime,exponent,residue
4,2,2,4
8,2,3,8
9,3,2,9
16,2,4,16
25,5,2,25
27,3,3,27
32,2,5,32
49,7,2,49
64,2,6,64
81,3,4,81
121,11,2,121
125,5,3,125
128,2,7,128
169,13,2,169
243,3,5,243
256,2,8,256
289,17,2,289
343,7,3,343
361,19,2,1
512,2,9,152
529,23,2,169
625,5,4,265
729,3,6,9
841,29,2,121
961,31,2,241
1024,2,10,304
1331,11,3,251
1369,37,2,289
1681,41,2,241
1849,43,2,49
2048,2,11,248
2187,3,7,27
2197,13,3,37
2209,47,2,49
2401,7,4,241
2809,53,2,289
3125,5,5,245
3481,59,2,241
3721,61,2,121
4096,2,12,136
4489,67,2,169
4913,17,3,233
5041,71,2,1
5329,73,2,289
6241,79,2,121
6561,3,8,81
6859,19,3,19
6889,83,2,49
7921,89,2,1
8192,2,13,272
9409,97,2,49
10201,101,2,121
10609,103,2,169
11449,107,2,289
11881,109,2,1
12167,23,3,287
12769,113,2,169
14641,11,4,241
15625,5,6,145
16129,127,2,289
16384,2,14,184
16807,7,5,247
17161,131,2,241
18769,137,2,49
19321,139,2,241
19683,3,9,243
22201,149,2,241
22801,151,2,121
24389,29,3,269
24649,157,2,169
26569,163,2,289
27889,167,2,169
28561,13,4,121
29791,31,3,271
29929,173,2,49
32041,179,2,1
32761,181,2,1
32768,2,15,8
36481,191,2,121
37249,193,2,169
38809,197,2,289
39601,199,2,1
44521,211,2,241
49729,223,2,49
50653,37,3,253
51529,227,2,49
52441,229,2,241
54289,233,2,289
57121,239,2,241
58081,241,2,121
59049,3,10,9
63001,251,2,1
65536,2,16,16
66049,257,2,169
68921,41,3,161
69169,263,2,49
72361,269,2,1
73441,271,2,1
76729,277,2,49
78125,5,7,5
78961,281,2,121
79507,43,3,307
80089,283,2,169
83521,17,4,1
85849,293,2,169
94249,307,2,289
96721,311,2,241
97969,313,2,49
100489,317,2,49
103823,47,3,143
109561,331,2,121
113569,337,2,169
117649,7,6,289
120409,347,2,169
121801,349,2,121
124609,353,2,49
128881,359,2,1
130321,19,4,1
131072,2,17,32
134689,367,2,49
139129,373,2,169
143641,379,2,1
146689,383,2,169
148877,53,3,197
151321,389,2,121
157609,397,2,289
160801,401,2,241
161051,11,5,131
167281,409,2,241
175561,419,2,241
177147,3,11,27
177241,421,2,121
185761,431,2,1
187489,433,2,289
192721,439,2,121
196249,443,2,49
201601,449,2,1
205379,59,3,179
208849,457,2,49
212521,461,2,121
214369,463,2,169
218089,467,2,289
226981,61,3,181
229441,479,2,121
237169,487,2,289
241081,491,2,241
249001,499,2,241
253009,503,2,289
259081,509,2,241
262144,2,18,64
271441,521,2,1
273529,523,2,289
279841,23,4,121
292681,541,2,1
299209,547,2,49
300763,67,3,163
310249,557,2,289
316969,563,2,169
323761,569,2,121
326041,571,2,241
332929,577,2,289
344569,587,2,49
351649,593,2,289
357911,71,3,71
358801,599,2,241
361201,601,2,121
368449,607,2,169
371293,13,5,133
375769,613,2,289
380689,617,2,169
383161,619,2,121
389017,73,3,217
390625,5,8,25
398161,631,2,1
410881,641,2,121
413449,643,2,169
418609,647,2,289
426409,653,2,169
434281,659,2,121
436921,661,2,241
452929,673,2,49
458329,677,2,49
466489,683,2,289
477481,691,2,121
491401,701,2,1
493039,79,3,199
502681,709,2,121
516961,719,2,1
524288,2,19,128
528529,727,2,49
531441,3,12,81
537289,733,2,169
546121,739,2,1
552049,743,2,169
564001,751,2,241
571787,83,3,107
573049,757,2,289
579121,761,2,241
591361,769,2,241
597529,773,2,289
619369,787,2,169
635209,797,2,169
654481,809,2,1
657721,811,2,1
674041,821,2,121
677329,823,2,169
683929,827,2,289
687241,829,2,1
703921,839,2,121
704969,89,3,89
707281,29,4,241
727609,853,2,49
734449,857,2,49
737881,859,2,241
744769,863,2,289
769129,877,2,169
776161,881,2,1
779689,883,2,289
786769,887,2,169
822649,907,2,49
823543,7,7,223
829921,911,2,121
844561,919,2,1
863041,929,2,121
877969,937,2,289
885481,941,2,241
896809,947,2,49
908209,953,2,289
912673,97,3,73
923521,31,4,121
935089,967,2,169
942841,971,2,1
954529,977,2,169
966289,983,2,49
982081,991,2,1
994009,997,2,49
