k,image,unit_image,unit_fiber,fixed_points,two_cycles,periodic_points,max_tail,tail_0,tail_1,tail_2,unit_fixed_points
1,360,96,1,360,0,360,0,360,0,0,96
2,36,6,16,8,4,16,2,16,146,198,1
3,75,32,3,45,15,75,1,75,285,0,16
4,16,3,32,16,0,16,1,16,344,0,3
5,175,96,1,75,50,175,1,175,185,0,32
6,12,2,48,8,0,8,2,8,208,144,1
7,175,96,1,105,35,175,1,175,185,0,48
8,16,3,32,8,4,16,1,16,344,0,1
9,75,32,3,75,0,75,1,75,285,0,32
10,24,6,16,16,0,16,2,16,200,144,3
11,175,96,1,45,65,175,1,175,185,0,16
12,8,1,96,8,0,8,1,8,352,0,1
13,175,96,1,175,0,175,1,175,185,0,96
14,24,6,16,8,4,16,2,16,200,144,1
