r,gcd360,mod8,mod9,mod5,mod30,prime_capable,unit_order,mirror,square,cube,pow4,pow6,pow12,pow13,support_idempotent,support,regular,nilpotent
90,90,2,0,0,0,0,,270,180,0,0,0,0,0,0,empty,0,1
91,1,3,1,1,1,1,2,269,1,91,1,1,1,91,1,235,1,0
92,4,4,2,2,2,0,,268,184,8,16,64,136,272,136,35,0,0
93,3,5,3,3,3,0,,267,9,117,81,9,81,333,81,25,0,0
94,2,6,4,4,4,0,,266,196,64,256,136,136,184,136,35,0,0
95,5,7,5,0,5,0,,265,25,215,265,145,145,95,145,23,1,0
96,24,0,6,1,6,0,,264,216,216,216,216,216,216,216,5,0,0
97,1,1,7,2,7,1,12,263,49,73,241,289,1,97,1,235,1,0
98,2,2,8,3,8,0,,262,244,152,136,64,136,8,136,35,0,0
99,9,3,0,4,9,0,,261,81,99,81,81,81,99,81,25,1,0
100,20,4,1,0,10,0,,260,280,280,280,280,280,280,280,3,0,0
101,1,5,2,1,11,1,6,259,121,341,241,1,1,101,1,235,1,0
102,6,6,3,2,12,0,,258,324,288,216,144,216,72,216,5,0,0
103,1,7,4,3,13,1,12,257,169,127,121,289,1,103,1,235,1,0
104,8,0,5,4,14,0,,256,16,224,256,136,136,104,136,35,1,0
105,15,1,6,0,15,0,,255,225,225,225,225,225,225,225,2,0,0
106,2,2,7,1,16,0,,254,76,136,16,136,136,16,136,35,0,0
107,1,3,8,2,17,1,4,253,289,323,1,289,1,107,1,235,1,0
108,36,4,0,3,18,0,,252,144,72,216,144,216,288,216,5,0,0
109,1,5,1,4,19,1,2,251,1,109,1,1,1,109,1,235,1,0
110,10,6,2,0,20,0,,250,220,80,160,280,280,200,280,3,0,0
111,3,7,3,1,21,0,,249,81,351,81,81,81,351,81,25,0,0
112,8,0,4,2,22,0,,248,304,208,256,64,136,112,136,35,1,0
113,1,1,5,3,23,1,12,247,169,17,121,289,1,113,1,235,1,0
114,6,2,6,4,24,0,,246,36,144,216,216,216,144,216,5,0,0
115,5,3,7,0,25,0,,245,265,235,25,145,145,115,145,23,1,0
116,4,4,8,1,26,0,,244,136,296,136,136,136,296,136,35,0,0
117,9,5,0,2,27,0,,243,9,333,81,9,81,117,81,25,1,0
118,2,6,1,3,28,0,,242,244,352,136,64,136,208,136,35,0,0
119,1,7,2,4,29,1,6,241,121,359,241,1,1,119,1,235,1,0
120,120,0,3,0,0,0,,240,0,0,0,0,0,0,0,empty,0,1
121,1,1,4,1,1,1,3,239,241,1,121,1,1,121,1,235,1,0
122,2,2,5,2,2,0,,238,124,8,256,64,136,32,136,35,0,0
123,3,3,6,3,3,0,,237,9,27,81,9,81,243,81,25,0,0
124,4,4,7,4,4,0,,236,256,64,16,136,136,304,136,35,0,0
125,5,5,8,0,5,0,,235,145,125,145,145,145,125,145,23,1,0
126,18,6,0,1,6,0,,234,36,216,216,216,216,216,216,5,0,0
127,1,7,1,2,7,1,4,233,289,343,1,289,1,127,1,235,1,0
128,8,0,2,3,8,0,,232,184,152,16,64,136,128,136,35,1,0
129,3,1,3,4,9,0,,231,81,9,81,81,81,9,81,25,0,0
130,10,2,4,0,10,0,,230,340,280,40,280,280,40,280,3,0,0
131,1,3,5,1,11,1,6,229,241,251,121,1,1,131,1,235,1,0
132,12,4,6,2,12,0,,228,144,288,216,144,216,72,216,5,0,0
133,1,5,7,3,13,1,12,227,49,37,241,289,1,133,1,235,1,0
