d,shell_size,natural_prime_capable,ring_prime,strong_irreducible,very_strong_irreducible,omega_d,factorization_regime,length_set
1,96,1,0,0,0,0,unit,{0}
2,48,0,1,1,1,1,unique-up-to-associates,{1}
3,32,0,1,1,1,1,unique-up-to-associates,{1}
4,24,0,0,0,0,2,unique-up-to-associates,{2}
5,24,0,1,1,0,1,infinite-length-interval,"[1,infinity)"
6,16,0,0,0,0,2,unique-up-to-associates,{2}
8,24,0,0,0,0,3,infinite-length-interval,"[3,infinity)"
9,16,0,0,0,0,2,infinite-length-interval,"[2,infinity)"
10,12,0,0,0,0,2,infinite-length-interval,"[2,infinity)"
12,8,0,0,0,0,3,unique-up-to-associates,{3}
15,8,0,0,0,0,2,infinite-length-interval,"[2,infinity)"
18,8,0,0,0,0,3,infinite-length-interval,"[3,infinity)"
20,6,0,0,0,0,3,infinite-length-interval,"[3,infinity)"
24,8,0,0,0,0,4,infinite-length-interval,"[4,infinity)"
30,4,0,0,0,0,3,infinite-length-interval,"[3,infinity)"
36,4,0,0,0,0,4,infinite-length-interval,"[4,infinity)"
40,6,0,0,0,0,4,infinite-length-interval,"[4,infinity)"
45,4,0,0,0,0,3,infinite-length-interval,"[3,infinity)"
60,2,0,0,0,0,4,infinite-length-interval,"[4,infinity)"
72,4,0,0,0,0,5,infinite-length-interval,"[5,infinity)"
90,2,0,0,0,0,4,infinite-length-interval,"[4,infinity)"
120,2,0,0,0,0,5,infinite-length-interval,"[5,infinity)"
180,1,0,0,0,0,5,infinite-length-interval,"[5,infinity)"
360,1,0,0,0,0,6,zero-special,special
