d,e,target_d,source_pair_count,target_shell_size,fiber_size
1,1,1,9216,96,96
1,2,2,4608,48,96
1,3,3,3072,32,96
1,4,4,2304,24,96
1,5,5,2304,24,96
1,6,6,1536,16,96
1,8,8,2304,24,96
1,9,9,1536,16,96
1,10,10,1152,12,96
1,12,12,768,8,96
1,15,15,768,8,96
1,18,18,768,8,96
1,20,20,576,6,96
1,24,24,768,8,96
1,30,30,384,4,96
1,36,36,384,4,96
1,40,40,576,6,96
1,45,45,384,4,96
1,60,60,192,2,96
1,72,72,384,4,96
1,90,90,192,2,96
1,120,120,192,2,96
1,180,180,96,1,96
1,360,360,96,1,96
2,1,2,4608,48,96
2,2,4,2304,24,96
2,3,6,1536,16,96
2,4,8,1152,24,48
2,5,10,1152,12,96
2,6,12,768,8,96
2,8,8,1152,24,48
2,9,18,768,8,96
2,10,20,576,6,96
2,12,24,384,8,48
2,15,30,384,4,96
2,18,36,384,4,96
2,20,40,288,6,48
2,24,24,384,8,48
2,30,60,192,2,96
2,36,72,192,4,48
2,40,40,288,6,48
2,45,90,192,2,96
2,60,120,96,2,48
2,72,72,192,4,48
2,90,180,96,1,96
2,120,120,96,2,48
2,180,360,48,1,48
2,360,360,48,1,48
3,1,3,3072,32,96
3,2,6,1536,16,96
3,3,9,1024,16,64
3,4,12,768,8,96
3,5,15,768,8,96
3,6,18,512,8,64
3,8,24,768,8,96
3,9,9,512,16,32
3,10,30,384,4,96
3,12,36,256,4,64
3,15,45,256,4,64
3,18,18,256,8,32
3,20,60,192,2,96
3,24,72,256,4,64
3,30,90,128,2,64
3,36,36,128,4,32
3,40,120,192,2,96
3,45,45,128,4,32
3,60,180,64,1,64
3,72,72,128,4,32
3,90,90,64,2,32
3,120,360,64,1,64
3,180,180,32,1,32
3,360,360,32,1,32
4,1,4,2304,24,96
4,2,8,1152,24,48
4,3,12,768,8,96
4,4,8,576,24,24
4,5,20,576,6,96
4,6,24,384,8,48
4,8,8,576,24,24
4,9,36,384,4,96
4,10,40,288,6,48
4,12,24,192,8,24
4,15,60,192,2,96
4,18,72,192,4,48
4,20,40,144,6,24
4,24,24,192,8,24
4,30,120,96,2,48
4,36,72,96,4,24
4,40,40,144,6,24
4,45,180,96,1,96
4,60,120,48,2,24
4,72,72,96,4,24
4,90,360,48,1,48
4,120,120,48,2,24
4,180,360,24,1,24
4,360,360,24,1,24
5,1,5,2304,24,96
5,2,10,1152,12,96
5,3,15,768,8,96
5,4,20,576,6,96
5,5,5,576,24,24
5,6,30,384,4,96
5,8,40,576,6,96
5,9,45,384,4,96
5,10,10,288,12,24
5,12,60,192,2,96
5,15,15,192,8,24
5,18,90,192,2,96
5,20,20,144,6,24
5,24,120,192,2,96
5,30,30,96,4,24
5,36,180,96,1,96
5,40,40,144,6,24
5,45,45,96,4,24
5,60,60,48,2,24
5,72,360,96,1,96
5,90,90,48,2,24
5,120,120,48,2,24
